Job Title,Rating,Company Name,Headquarters,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Location City,Location State,Est_Salary
Data Scientist,4.3,Medidata Solutions,"New York, NY",1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),Oracle,0,New York, NY,146.0
Data Scientist,3.9,Point72,"Stamford, CT",2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,0,New York, NY,146.0
Data Scientist,4.4,Two Sigma,"New York, NY",2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,0,New York, NY,146.0
Data Scientist,3.0,Affinity Solutions,"New York, NY",1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",1,New York, NY,146.0
Data Scientist,3.6,Etsy,"Brooklyn, NY",2005,Company - Public,Other Retail Stores,Retail,$100 to $500 million (USD),"Airbnb, Warby Parker, Kickstarter",0,Brooklyn, NY,146.0
Data Scientist,3.3,PA Consulting,"London, United Kingdom",1943,Company - Private,Consulting,Business Services,$100 to $500 million (USD),"McKinsey & Company, Accenture, Deloitte",0,New York, NY,146.0
Data Scientist,3.6,Etsy,"Brooklyn, NY",2005,Company - Public,Other Retail Stores,Retail,$100 to $500 million (USD),"Airbnb, Warby Parker, Kickstarter",0,New York, NY,146.0
VP,3.9,7Park Data,"New York, NY",2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,0,New York, NY,146.0
Data Scientist,4.0,Walt Disney Co.,"Burbank, CA",1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",0,New York, NY,146.0
Data Scientist,3.4,Squarespace,"New York, NY",2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,0,New York, NY,146.0
QUANTITATIVE RESEARCHER – INTERN (US),4.1,Citadel Securities,"Chicago, IL",2002,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,Virtu Financial,0,New York, NY,146.0
Data Engineer,3.4,Enterprise Integration,"Jacksonville, FL",1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,0,New York, NY,146.0
Data Scientist,4.4,WITHIN,"New York, NY",2015,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,New York, NY,146.0
Data Scientist,3.8,Spotify,"Stockholm, Sweden",2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,146.0
Data Scientist,4.1,Datadog,"New York, NY",2010,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1,0,New York, NY,146.0
Data Scientist,3.3,Aetna,"Hartford, CT",1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,New York, NY,146.0
Data Scientist,5.0,Hungryroot,"New York, NY",2015,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD),-1,0,New York, NY,146.0
Data Scientist,3.3,Aetna,"Hartford, CT",1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,New York, NY,146.0
Data Scientist,4.3,Caserta,"New York, NY",2001,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,130.0
Data Scientist,3.7,Lyft,"San Francisco, CA",2012,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,1,New York, NY,130.0
Data Scientist,4.3,IBG LLC,"Memphis, TN",1990,Company - Private,Brokerage Services,Finance,$100 to $500 million (USD),-1,0,New York, NY,130.0
Data Scientist,3.0,CLEAR,"New York, NY",2010,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,-1,0,New York, NY,130.0
Data Analyst,3.7,GNY Insurance Companies,"New York, NY",1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",1,New York, NY,130.0
Data Analyst,3.4,Squarespace,"New York, NY",2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,0,New York, NY,130.0
Data Scientist,3.5,Andiamo,"Warren, MI",1976,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),-1,0,New York, NY,130.0
Data Scientist,4.2,infarm,"Berlin, Germany",2013,Company - Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable,-1,0,New York, NY,130.0
Data Scientist,3.5,Andiamo,"Warren, MI",1976,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),-1,0,New York, NY,130.0
Data Scientist,4.6,Bowery Farming,"New York, NY",2015,Company - Private,Food Production,Agriculture & Forestry,Unknown / Non-Applicable,-1,0,New York, NY,130.0
Data Scientist,4.3,NorthOne,"New York, NY",1976,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,New York, NY,130.0
QUANTITATIVE RESEARCHER ,4.1,Citadel Securities,"Chicago, IL",2002,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,Virtu Financial,0,New York, NY,130.0
Consultant,4.3,Braze,"New York, NY",2011,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,1,New York, NY,130.0
Data Scientist,4.5,Facebook,"Menlo Park, CA",2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),"Google, Microsoft, Apple",0,New York, NY,130.0
Data Analyst,3.2835763622409817,MUSIC & Entertainment,"Marina del Rey, CA",1976,Company - Public,-1,Unknown,Unknown / Non-Applicable,-1,0,New York, NY,130.0
Data Scientist,3.9,Crisis Text Line,"New York, NY",2013,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,Unknown / Non-Applicable,-1,0,New York, NY,130.0
Data Scientist,3.4,Casper,"New York, NY",2014,Company - Public,Home Furniture & Housewares Stores,Retail,Unknown / Non-Applicable,-1,0,New York, NY,130.0
Data Scientist,4.7,BlueLabs,"Washington, DC",1976,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,0,New York, NY,130.0
Data Analyst,3.6,Tower Research Capital,"New York, NY",1998,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,-1,0,New York, NY,130.0
Data Scientist,3.5,Codecademy,"New York, NY",2011,Company - Private,Education Training Services,Education,Unknown / Non-Applicable,-1,1,New York, NY,130.0
Data Analyst,3.9,Point72,"Stamford, CT",2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,0,New York, NY,130.0
CIB,3.9,JPMorgan Chase,"New York, NY",1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,0,New York, NY,130.0
Data Scientist,3.2,viagogo,"New York, NY",2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,130.0
Data Scientist,3.2835763622409817,CompIQ,"New York, NY",2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,130.0
Data Scientist,3.3,Aetna,"Hartford, CT",1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,New York, NY,130.0
Data Scientist,3.2835763622409817,Codeacademy,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,130.0
Data Scientist,4.2,Gallup,"Washington, DC",1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Advisory Board, Booz Allen Hamilton, McKinsey & Company",0,New York, NY,130.0
Data Scientist,3.6,eBay,"San Jose, CA",1995,Company - Public,Internet,Information Technology,$10+ billion (USD),"Amazon, Apple",0,New York, NY,130.0
Data Scientist,3.9,Amazon,"Seattle, WA",1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",0,New York, NY,130.0
Data Scientist,3.9,Amazon,"Seattle, WA",1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",0,New York, NY,130.0
Data Scientist,3.8,Spotify,"Stockholm, Sweden",2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,133.0
Data Scientist,3.2835763622409817,Doctors Without Borders | Médecins Sans Frontières,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,133.0
Data Scientist,5.0,Snappy,"New York, NY",2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,133.0
Data Scientist,3.2835763622409817,Pierce Technology Corp,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,133.0
Data Scientist,3.4,Aptus Health,"Reading, MA",2008,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,New York, NY,133.0
Data Scientist,3.9,"JPMorgan Chase Bank, N.A.","New York, NY",1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,0,Jersey City, NJ,133.0
Data Scientist,4.4,D. E. Shaw & Co.,"New York, NY",1988,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,"Renaissance Technologies LLC, Two Sigma, AQR Capital Management",1,New York, NY,133.0
Data Scientist,3.0,Known,"New York, NY",2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,0,New York, NY,133.0
CREDIT ANALYTICS MANAGER,4.0,Liberty Lending,"New York, NY",2015,Company - Private,Lending,Finance,Unknown / Non-Applicable,"SoFi, LendingClub, Freedom Financial Network",1,New York, NY,133.0
Data Scientist,3.9,Amazon,"Seattle, WA",1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",0,New York, NY,133.0
Data Scientist,3.6,DoSomething.org,"New York, NY",1993,Nonprofit Organization,Social Assistance,Non-Profit,$5 to $10 million (USD),-1,1,New York, NY,133.0
Data Scientist,3.9,ApTask,"Iselin, NJ",2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Collabera, Mitchell Martin, The Judge Group",0,New York, NY,133.0
Data Scientist,2.8,Match Group,"Norwalk, CT",1998,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,0,New York, NY,133.0
Data Scientist,4.1,UCI,"Tehran, Iran",1976,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,New York, NY,133.0
Data Engineer,4.4,Conductor,"New York, NY",2010,Company - Private,Internet,Information Technology,$25 to $50 million (USD),"Brightedge Technologies, Moz, seoClarity",1,New York, NY,99.0
Data Scientist,3.3,Forbes Media,"Jersey City, NJ",1917,Company - Private,Publishing,Media,Unknown / Non-Applicable,"Economist Group, Wall Street Journal",0,Jersey City, NJ,99.0
Data Scientist,2.9,Interactive Brokers,"Greenwich, CT",1976,Company - Public,Brokerage Services,Finance,$1 to $2 billion (USD),-1,0,New York, NY,99.0
Data Scientist,4.0,The Walt Disney Company,"Burbank, CA",1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",0,New York, NY,99.0
Data Scientist,4.4,Google,"Mountain View, CA",1998,Company - Public,Internet,Information Technology,$10+ billion (USD),"Microsoft, Apple, Facebook",0,New York, NY,99.0
Data Scientist,3.8,Milliman,"Seattle, WA",1947,Company - Private,Consulting,Business Services,$1 to $2 billion (USD),-1,0,New York, NY,99.0
Data Scientist,3.8,CIA,"Langley, VA",1947,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,0,New York, NY,99.0
Data Scientist,2.7,Metroplus Health Plan,"New York, NY",1985,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,0,New York, NY,99.0
Data Scientist,3.2835763622409817,Huxley Banking & Financial Services,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,99.0
Data Scientist,4.3,Medidata Solutions,"New York, NY",1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),Oracle,0,New York, NY,99.0
Data Scientist,4.5,Facebook,"Menlo Park, CA",2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),"Google, Microsoft, Apple",0,New York, NY,99.0
Data Scientist,3.2835763622409817,One Drop,"New York, NY",1976,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1,0,New York, NY,99.0
Data Scientist,3.9,Point72,"Stamford, CT",2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,0,New York, NY,99.0
Data Scientist,3.3,"LivePerson, Inc.","New York, NY",1995,Company - Public,Internet,Information Technology,$100 to $500 million (USD),"Oracle, Salesforce, 24/7 Real Media",0,New York, NY,99.0
Data Scientist,3.2835763622409817,Microagility,"Princeton, NJ",1976,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1,0,New York, NY,99.0
Data Scientist,3.2835763622409817,Financial Services Company,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,99.0
AI,3.8,Bloomberg,"New York, NY",1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",0,New York, NY,99.0
Data Scientist,3.6,Koch Industries,"Wichita, KS",1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,0,New York, NY,99.0
Data Scientist,3.3,Huxley,"London, United Kingdom",1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,0,New York, NY,99.0
Data Analyst,4.1,NYU Langone Health,"New York, NY",1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",0,New York, NY,99.0
Data Scientist,2.8,Gate Staffing LLC,"East Northport, NY",2010,Self-employed,IT Services,Information Technology,$1 to $5 million (USD),-1,0,New York, NY,99.0
Data Scientist,3.2835763622409817,ConcertAI,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,99.0
Data Scientist,3.4,Tapestry,"New York, NY",2017,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable,"Capri Holdings, LVMH, Ralph Lauren",0,New York, NY,99.0
Data Scientist,3.4,Tapestry,"New York, NY",2017,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable,"Capri Holdings, LVMH, Ralph Lauren",0,New York, NY,99.0
Data Scientist,2.9,CKM Advisors,"New York, NY",2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,0,New York, NY,99.0
Data Engineer,4.8,Jane Street,"New York, NY",2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,0,New York, NY,99.0
Data Scientist,3.9,Point72,"Stamford, CT",2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,0,New York, NY,99.0
Data Scientist,3.8,Spotify,"Stockholm, Sweden",2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,99.0
Data Scientist,5.0,Averity,"New York, NY",2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,0,New York, NY,99.0
Data Scientist,4.2,The CARIAN Group,"South Plainfield, NJ",1976,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,0,New York, NY,99.0
Data Engineer,4.7,Jun Group Productions LLC,"New York, NY",2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,111.5
Data Scientist,3.2835763622409817,GradTests (gradtests.com),unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,111.5
Data Scientist,2.8,Committee of 100,"New York, NY",1976,Company - Private,Social Assistance,Non-Profit,$1 to $5 million (USD),-1,0,New York, NY,111.5
Data Scientist,4.2,NJF Global Holdings,"London, United Kingdom",2003,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,1,New York, NY,111.5
Data Analyst,4.0,DMGT,"London, United Kingdom",1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),"Thomson Reuters, Hearst, Pearson",0,New York, NY,111.5
Data Scientist,4.9,ubergig,"New York, NY",2009,Company - Private,Building & Personnel Services,Business Services,$5 to $10 million (USD),-1,0,New York, NY,111.5
Data Scientist,4.0,OneWire,"New York, NY",2007,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,0,New York, NY,111.5
Data Scientist,3.4,Thomas,"New York, NY",1898,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,1,New York, NY,111.5
Data Scientist,2.7,TBWA\Chiat\Day,"New York, NY",1968,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,0,New York, NY,111.5
Data Scientist,3.5,Internal Revenue Service,"Washington, DC",1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,0,New York, NY,111.5
Data Scientist,3.4,"Harry and David, LLC","Medford, OR",1934,Company - Public,Food & Beverage Stores,Retail,$100 to $500 million (USD),-1,0,Carle Place, NY,111.5
DATA SCIENCE SPECIALIST USA,3.3,Mphasis limited,"Bengaluru, India",1992,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Infosys, Wipro, Tata Consultancy Services",0,New York, NY,111.5
Data Scientist,2.5,Foursquare,"New York, NY",2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,111.5
Data Scientist,3.2835763622409817,Glean Analytics Inc.,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,111.5
QUANTITATIVE DEVELOPER,4.4,Ripple,"San Francisco, CA",2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,1,New York, NY,111.5
Data Scientist,4.4,Two Sigma,"New York, NY",2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,0,New York, NY,111.5
Data Scientist,4.1,Rockstar Games,"New York, NY",1998,Subsidiary or Business Segment,Video Games,Media,$10 to $25 million (USD),-1,0,New York, NY,111.5
Data Scientist,4.8,TechProjects,"North Brunswick, NJ",2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,111.5
Data Scientist,3.6,Spring Health,"New York, NY",2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,New York, NY,111.5
Data Scientist,3.8,Grubhub,"Chicago, IL",2004,Company - Public,Internet,Information Technology,$100 to $500 million (USD),DoorDash,0,New York, NY,111.5
Data Scientist,5.0,SkillSoniq,"Jersey City, NJ",1976,Company - Public,-1,Unknown,Unknown / Non-Applicable,-1,0,New York, NY,111.5
Data Scientist,3.9,Amazon,"Seattle, WA",1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",0,New York, NY,111.5
Data Scientist,4.5,Arena,"Baltimore, MD",2014,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1,0,New York, NY,111.5
Data Analyst,4.4,D. E. Shaw & Co.,"New York, NY",1988,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,"Renaissance Technologies LLC, Two Sigma, AQR Capital Management",1,New York, NY,111.5
Data Scientist,1.0,Sphinix Solutions,"New York, NY",1976,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,0,New York, NY,111.5
Data Analyst,3.2835763622409817,Carry1st,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,111.5
Data Scientist,4.0,Lorven Technologies Inc,"Plainsboro, NJ",1976,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,0,New York, NY,111.5
Data Scientist,3.2835763622409817,Line Sniper,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,111.5
Data Scientist,3.6,Strategic Financial Solutions,"New York, NY",2007,Company - Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,"National Debt Relief, Freedom Financial Network",0,New York, NY,111.5
Data Scientist,3.7,Audible,"Newark, NJ",1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,-1,0,Newark, NJ,111.5
Data Scientist,3.4,Voice,unknown city,1976,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,Brooklyn, NY,169.5
Data Engineer,4.7,Seated,"New York, NY",2017,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,169.5
SENIOR ,3.8,Spotify,"Stockholm, Sweden",2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,169.5
Data Scientist,4.9,NYC Data Science Academy,"New York, NY",2014,Company - Private,Education Training Services,Education,Unknown / Non-Applicable,"Metis, General Assembly",0,New York, NY,169.5
FEDERAL,4.2,Solekai Systems Corp,"San Diego, CA",2002,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,0,New York, NY,169.5
Data Scientist,3.4,"Digital Intelligence Systems, LLC","Mc Lean, VA",1994,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,0,Franklin Lakes, NJ,169.5
Data Analyst,3.9,Roku,"San Jose, CA",2002,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,0,New York, NY,169.5
Data Scientist,4.4,Oliver Wyman,"New York, NY",1984,Subsidiary or Business Segment,Consulting,Business Services,$1 to $2 billion (USD),Boston Consulting Group,0,New York, NY,169.5
MACHINE LEARNING RESEARCHER ,3.2835763622409817,"J Harlan Group, LLC","New York, NY (US), NY",1976,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,New York, NY,169.5
Data Scientist,3.9,Amazon,"Seattle, WA",1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",0,New York, NY,169.5
QUANTITATIVE RESEARCHER,3.2835763622409817,Edward Daniels Group,"New York, NY",2007,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,0,New York, NY,169.5
Data Scientist,4.8,InvenTech Info,"Bengaluru, India",2010,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,0,Jersey City, NJ,169.5
Data Analyst,5.0,Whip Media Group,"Santa Monica, CA",2016,Company - Private,-1,Unknown,Unknown / Non-Applicable,-1,0,New York, NY,169.5
INVESTMENT & DATA SCIENCE INTERN,4.0,JAG Capital,"San Antonio, TX",1976,Company - Private,Food & Beverage Manufacturing,Manufacturing,$5 to $10 million (USD),-1,0,New York, NY,169.5
Data Scientist,5.0,Blue Horizon Tek Solutions,"Coconut Creek, FL",1987,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,0,New York, NY,169.5
CCB F&BM,3.9,"JPMorgan Chase Bank, N.A.","New York, NY",1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,0,New York, NY,169.5
Data Scientist,3.8,NPD,"Port Washington, NY",1966,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),-1,0,Port Washington, NY,169.5
DATA SCIENCE & MACHINE LEARNING RESEARCH INTERN,3.2835763622409817,Altversity,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,169.5
Data Scientist,3.3,Fujitsu,"MINATO-KU, Japan",1935,Company - Public,-1,Unknown,$5 to $10 billion (USD),"Atos, Hewlett Packard Enterprise | HPE, IBM",0,New York, NY,169.5
Data Scientist,2.8,1-800-Flowers,"Carle Place, NY",1976,Company - Public,Wholesale,Business Services,$1 to $2 billion (USD),-1,0,New York, NY,169.5
Data Scientist,4.0,Flatiron Health,"New York, NY",2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,169.5
Data Scientist,3.2835763622409817,Edward Daniels Group,"New York, NY",2007,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,0,New York, NY,169.5
Data Scientist,3.6,MediaMath,"New York, NY",2007,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),"Criteo, AppNexus, dataxu",1,New York, NY,169.5
Data Scientist,3.2835763622409817,The Organic Recruiter,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,169.5
Data Scientist,3.7,Via Transportation,"New York, NY",2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,1,New York, NY,169.5
Data Scientist,3.2835763622409817,Biotenico Research and Development Company,unknown city,1976,Unknown,-1,Unknown,-1,-1,0,New York, NY,169.5
PRINCIPAL ASSOCIATE,3.9,Capital One,"Mc Lean, VA",1994,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),"J.P. Morgan, Wells Fargo, McKinsey & Company",0,New York, NY,169.5
Data Scientist,4.2,Gallup,"Washington, DC",1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Advisory Board, Booz Allen Hamilton, McKinsey & Company",0,New York, NY,169.5
Data Scientist,1.9,Building Service 32BJ Benefit Funds,"New York, NY",1976,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,New York, NY,169.5
Data Scientist,3.5,Marsh,"New York, NY",1871,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,$1 to $2 billion (USD),-1,0,New York, NY,169.5
Data Analyst,3.8,Undertone,"New York, NY",2001,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"DoubleClick, Specific Media, Collective",1,New York, NY,205.0
Data Analyst,4.4,Simple Health,"New York, NY",2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,New York, NY,205.0
Data Analyst,5.0,Galileo,"New York, NY",1976,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,New York, NY,205.0
Data Analyst,3.4,City of New York,"New York, NY",1625,Government,Municipal Governments,Government,Unknown / Non-Applicable,-1,0,New York, NY,205.0
